order_date,po_id,supplier_id,supplier_region,supplier_country,part_id,part_type,category,unit_of_measure,delivery_qty,unit_cost_usd,total_cost_usd,promised_lead_time_days,actual_lead_time_days,on_time_flag,defect_flag,defect_reason,order_month_start,risk_score_month,risk_score
1/1/23,PO-ca224457,SU-006,South America,Brazil,PART-c315bc59,Blade,Attachments,ea,3,5926.57,17779.71,44,42,1,1,Packaging Issue,1/1/23,1/1/23,81.41017331730828
1/1/23,PO-a5333bd5,SU-007,Europe,Netherlands,PART-5edada95,Hydraulic Fluid,Lubricants & Fluids,gal,50,22.99,1149.5,5,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/1/23,PO-14fcbbc9,SU-012,North America,USA,PART-4e8d7802,Transmission Oil,Lubricants & Fluids,gal,102,23.09,2355.18,6,6,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/1/23,PO-a6e86824,SU-010,Asia,South Korea,PART-7c205b95,Steel Plate,Steel,lb,574,0.63,361.62,25,25,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/1/23,PO-71787423,SU-007,Europe,Netherlands,PART-4e8d7802,Transmission Oil,Lubricants & Fluids,gal,153,23.55,3603.15,5,4,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/1/23,PO-5953a116,SU-011,Asia,China,PART-fb58317b,Engine Block,Engines,ea,2,4530.23,9060.46,38,21,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/1/23,PO-fa248cea,SU-007,Europe,Netherlands,PART-4e8d7802,Transmission Oil,Lubricants & Fluids,gal,200,23.55,4710,5,3,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/1/23,PO-cb1cdf9e,SU-012,North America,USA,PART-4e8d7802,Transmission Oil,Lubricants & Fluids,gal,150,23.09,3463.5,6,6,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/1/23,PO-be8a8d74,SU-007,Europe,Netherlands,PART-5edada95,Hydraulic Fluid,Lubricants & Fluids,gal,179,22.99,4115.21,5,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/1/23,PO-4f79a15d,SU-007,Europe,Netherlands,PART-ff9ed178,Coolant,Lubricants & Fluids,gal,32,25.07,802.24,7,6,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/2/23,PO-332ee15a,SU-011,Asia,India,PART-1e097245,Bucket,Attachments,ea,3,6605.07,19815.21,40,40,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
